tavg,pres,target_1,target_2,target_3,target_4,target_5,target_6,target_7,rolling_3_prcp,rolling_14_tmax,rolling_14_tmax_pct,day_avg_tmax,month_avg_tmin,day_avg_tmin,month_avg_prcp
3.9,1025.6,22.0,21.0,26.0,21.0,11.4,14.0,21.5,0.0,1.9928571428571427,5.523297491039427,13.0,-3.335,-5.4,0.7100000000000001
12.5,1017.8,21.0,26.0,21.0,11.4,14.0,21.5,24.0,0.0,2.564285714285714,7.5793871866295275,22.0,-2.857142857142857,6.7,0.6761904761904762
12.0,1022.7,26.0,21.0,11.4,14.0,21.5,24.0,14.0,0.0,2.707142857142857,6.757255936675463,21.0,-2.6500000000000004,1.7,0.6454545454545455
17.8,1015.4,21.0,11.4,14.0,21.5,24.0,14.0,16.0,0.0,4.021428571428571,5.465364120781527,26.0,-2.1869565217391305,8.0,0.6173913043478262
17.2,1015.2,11.4,14.0,21.5,24.0,14.0,16.0,20.0,0.0,5.3357142857142845,2.9357429718875507,21.0,-1.5583333333333333,12.9,0.5916666666666667
9.3,1021.7,14.0,21.5,24.0,14.0,16.0,20.0,22.0,2.6333333333333333,6.221428571428571,0.8323765786452356,11.4,-1.204,7.3,0.884
11.0,1014.7,21.5,24.0,14.0,16.0,20.0,22.0,20.0,5.433333333333334,7.507142857142857,0.8648905803996194,14.0,-0.8615384615384615,7.7,1.1730769230769231
16.1,1011.2,24.0,14.0,16.0,20.0,22.0,20.0,17.0,8.533333333333333,8.971428571428572,1.3964968152866242,21.5,-0.4444444444444444,10.4,1.4740740740740743
18.1,1011.8,14.0,16.0,20.0,22.0,20.0,17.0,19.0,10.133333333333335,11.092857142857143,1.163554410817772,24.0,-0.05714285714285713,10.4,1.875
10.6,1023.3,16.0,20.0,22.0,20.0,17.0,19.0,21.0,7.433333333333334,12.87857142857143,0.08707709373266767,14.0,7.0,7.0,0.3
11.2,1024.7,20.0,22.0,20.0,17.0,19.0,21.0,22.0,4.333333333333333,14.564285714285715,0.0985777341834232,16.0,6.0,5.0,0.15
13.1,1020.8,22.0,20.0,17.0,19.0,21.0,22.0,23.0,0.09999999999999999,16.20714285714286,0.23402379903040973,20.0,5.3999999999999995,4.2,0.09999999999999999
15.7,1018.0,20.0,17.0,19.0,21.0,22.0,23.0,25.0,0.0,17.85,0.23249299719887945,22.0,6.075,8.1,0.075
14.7,1015.7,17.0,19.0,21.0,22.0,23.0,25.0,26.0,0.09999999999999999,18.99285714285714,0.05302745393004904,20.0,7.06,11.0,0.12
12.0,1026.6,19.0,21.0,22.0,23.0,25.0,26.0,25.0,0.09999999999999999,19.27857142857143,-0.11819192293442016,17.0,7.033333333333334,6.9,0.09999999999999999
13.3,1028.5,21.0,22.0,23.0,25.0,26.0,25.0,22.0,0.09999999999999999,19.064285714285713,-0.003372049456725307,19.0,6.957142857142857,6.5,0.08571428571428572
14.9,1028.4,22.0,23.0,25.0,26.0,25.0,22.0,26.0,0.0,19.064285714285713,0.1015361558636194,21.0,6.95,6.9,0.075
17.8,1022.6,23.0,25.0,26.0,25.0,22.0,26.0,27.0,0.06666666666666667,18.77857142857143,0.17154811715481172,22.0,7.6000000000000005,12.8,0.08888888888888889
20.0,1016.3,25.0,26.0,25.0,22.0,26.0,27.0,21.6,0.16666666666666666,18.92142857142857,0.21555303888259725,23.0,8.39,15.5,0.11000000000000001
22.4,1017.2,26.0,25.0,22.0,26.0,27.0,21.6,16.0,0.43333333333333335,19.892857142857142,0.2567324955116697,25.0,9.363636363636363,19.1,0.17272727272727273
22.1,1020.0,25.0,22.0,26.0,27.0,21.6,16.0,18.0,1.7666666666666668,20.75,0.25301204819277107,26.0,10.05,17.6,0.5083333333333333
21.7,1017.3,22.0,26.0,27.0,21.6,16.0,18.0,19.0,1.9666666666666668,21.0,0.19047619047619047,25.0,10.7,18.5,0.5384615384615385
17.6,1011.7,26.0,27.0,21.6,16.0,18.0,19.0,21.0,3.533333333333333,20.857142857142858,0.05479452054794518,22.0,10.864285714285714,13.0,0.8928571428571429
18.1,1010.6,27.0,21.6,16.0,18.0,19.0,21.0,18.0,2.1333333333333333,21.714285714285715,0.19736842105263153,26.0,10.833333333333334,10.4,0.8333333333333334
21.3,1008.3,21.6,16.0,18.0,19.0,21.0,18.0,23.0,1.8333333333333333,22.5,0.2,27.0,11.1875,16.5,0.78125
16.5,1007.1,16.0,18.0,19.0,21.0,18.0,23.0,25.0,3.766666666666667,22.614285714285717,-0.04485154769425149,21.6,11.0,8.0,1.4000000000000001
10.2,1021.8,18.0,19.0,21.0,18.0,23.0,25.0,20.0,3.766666666666667,22.185714285714287,-0.27881519639407604,16.0,10.722222222222221,6.0,1.3222222222222222
11.2,1026.7,19.0,21.0,18.0,23.0,25.0,20.0,26.0,3.766666666666667,22.042857142857144,-0.1834089436163319,18.0,10.421052631578947,5.0,1.2526315789473685
14.0,1025.8,21.0,18.0,23.0,25.0,20.0,26.0,26.0,0.0,22.185714285714287,-0.14359304571796527,19.0,10.3,8.0,1.19
14.1,1020.6,18.0,23.0,25.0,20.0,26.0,26.0,21.0,0.0,22.32857142857143,-0.0595009596928983,21.0,10.19047619047619,8.0,1.1333333333333333
15.1,1010.4,23.0,25.0,20.0,26.0,26.0,21.0,22.2,10.1,22.114285714285717,-0.18604651162790709,18.0,10.272727272727273,12.0,2.459090909090909
15.9,1007.0,25.0,20.0,26.0,26.0,21.0,22.2,27.3,10.200000000000001,22.185714285714287,0.036703155183515725,23.0,10.252173913043478,9.8,2.365217391304348
17.4,1008.5,20.0,26.0,26.0,21.0,22.2,27.3,17.9,13.366666666666667,22.32857142857143,0.11964171465131156,25.0,10.325000000000001,12.0,2.6625
14.5,1009.5,26.0,26.0,21.0,22.2,27.3,17.9,18.6,10.366666666666667,21.97142857142857,-0.08972691807542263,20.0,10.34,10.7,3.408
18.4,1013.4,26.0,21.0,22.2,27.3,17.9,18.6,19.0,10.266666666666667,21.97142857142857,0.18335500650195058,26.0,10.384615384615385,11.5,3.276923076923077
21.0,1011.8,21.0,22.2,27.3,17.9,18.6,19.0,21.7,7.166666666666667,22.042857142857144,0.1795204147764095,26.0,10.61111111111111,16.5,3.162962962962963
16.1,1024.3,22.2,27.3,17.9,18.6,19.0,21.7,23.0,0.06666666666666667,21.97142857142857,-0.04421326397919376,21.0,10.625,11.0,3.0500000000000003
